img_path,item_identifier,subset,defect_prob
/data/public/dataset/kaputt/data/train/reference-data/crop/4cce1506-8cc5-4af3-a10b-8e12fdb404f3.jpg,349fe56a,train,0.15974101424217224
/data/public/dataset/kaputt/data/train/reference-data/crop/eb3375b3-7de6-43fc-90dd-244423b8f61e.jpg,349fe56a,train,0.15869519114494324
/data/public/dataset/kaputt/data/train/reference-data/crop/9c6329be-9752-4922-a2f4-35ca0956be76.jpg,349fe56a,train,0.18126320838928223
/data/public/dataset/kaputt/data/train/reference-data/crop/adea0e1e-feba-48e5-a867-604cc1391fc0.jpg,bc0d6c3a,train,0.1465752124786377
/data/public/dataset/kaputt/data/train/reference-data/crop/b8fec843-f187-48a6-acf8-b1740c767ea7.jpg,bc0d6c3a,train,0.09947021305561066
/data/public/dataset/kaputt/data/train/reference-data/crop/1ef98f68-d0d8-42ba-919a-b8ba34802136.jpg,bc0d6c3a,train,0.14511536061763763
/data/public/dataset/kaputt/data/train/reference-data/crop/ce3dd324-b845-406b-9695-2d3fdf0ccc4e.jpg,9983a525,train,0.523861825466156
/data/public/dataset/kaputt/data/train/reference-data/crop/6269440b-ad04-4e0c-802e-efee3b5ac231.jpg,9983a525,train,0.6796041131019592
/data/public/dataset/kaputt/data/train/reference-data/crop/481a26ee-72da-4ae3-8c7d-a6196770fd47.jpg,9983a525,train,0.5427875518798828
/data/public/dataset/kaputt/data/train/reference-data/crop/0cb29536-a1c4-46a3-916a-9d7d48ac6979.jpg,dcd46baf,train,0.22135069966316223
/data/public/dataset/kaputt/data/train/reference-data/crop/dc6e77f4-f5a2-4015-9c42-037549703f55.jpg,dcd46baf,train,0.32466351985931396
/data/public/dataset/kaputt/data/train/reference-data/crop/c7b77d6c-d248-481e-a149-3df561cdb1ac.jpg,dcd46baf,train,0.3350244164466858
/data/public/dataset/kaputt/data/train/reference-data/crop/00934438-c2e3-4b99-afa9-542e20109565.jpg,69821acc,train,0.45659148693084717
/data/public/dataset/kaputt/data/train/reference-data/crop/c7cca072-bd76-42f1-a7f0-f4db43920761.jpg,69821acc,train,0.6085940003395081
/data/public/dataset/kaputt/data/train/reference-data/crop/91e7be1e-3bc1-4506-8469-41f1e7da849d.jpg,69821acc,train,0.5872331261634827
/data/public/dataset/kaputt/data/train/reference-data/crop/dd272b8c-f34f-4b3c-9ef7-7d7bbe94dbe6.jpg,4ad141a8,train,0.35667070746421814
/data/public/dataset/kaputt/data/train/reference-data/crop/9a6ac9d0-37a8-4653-b9e9-c52b181fad91.jpg,4ad141a8,train,0.4457104802131653
/data/public/dataset/kaputt/data/train/reference-data/crop/4dd1d343-97ab-486b-a287-92d36b46aa9b.jpg,4ad141a8,train,0.3363310396671295
/data/public/dataset/kaputt/data/train/reference-data/crop/9b279bd1-1f20-4e6c-8ce0-6ca4e90e987f.jpg,a8ef12ab,train,0.1672186702489853
/data/public/dataset/kaputt/data/train/reference-data/crop/8175acc9-d996-41f8-b9b9-40e493fba0c8.jpg,a8ef12ab,train,0.3490888178348541
/data/public/dataset/kaputt/data/train/reference-data/crop/b49dbc64-f02e-4bda-85a3-2b096d5811de.jpg,a8ef12ab,train,0.31489264965057373
/data/public/dataset/kaputt/data/train/reference-data/crop/98baeba0-d406-4c5d-bd95-28bcc4c1571d.jpg,dcd8b3b8,train,0.814643383026123
/data/public/dataset/kaputt/data/train/reference-data/crop/6c755396-7b1a-41b6-a280-bf27e73fabcd.jpg,dcd8b3b8,train,0.40821778774261475
/data/public/dataset/kaputt/data/train/reference-data/crop/e067cf49-d1a6-4ae9-8551-bf918dcba43d.jpg,dcd8b3b8,train,0.2833845913410187
/data/public/dataset/kaputt/data/train/reference-data/crop/53cc16bd-3ee3-4f7b-bff9-2d5d39a2fa7d.jpg,daa6cf7b,train,0.4440975785255432
/data/public/dataset/kaputt/data/train/reference-data/crop/0e5e8c54-bb79-46ae-9bda-10ebc7b4848a.jpg,daa6cf7b,train,0.6025294065475464
/data/public/dataset/kaputt/data/train/reference-data/crop/b5e138a0-d1f3-44aa-aec5-26f24a129adb.jpg,daa6cf7b,train,0.555917501449585
/data/public/dataset/kaputt/data/train/reference-data/crop/06fd2231-5eee-4be5-bec3-797006f79afb.jpg,248e4d89,train,0.24041776359081268
/data/public/dataset/kaputt/data/train/reference-data/crop/def4cf17-fb1b-4522-b259-f11c959776c6.jpg,248e4d89,train,0.7662936449050903
